time,d_low,d_high,s_low,s_high,d_reference,s_reference,d_new,s_new,d_first,s_first,d_retouch,s_retouch,d_invalid,s_invalid,d_reference_hit,s_reference_hit
2026.03.02 00:53,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:54,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:55,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:56,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:57,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:58,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:59,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 01:00,96.0,100.0,1.7976931348623157e+308,1.7976931348623157e+308,98.0,1.7976931348623157e+308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 01:01,96.0,100.0,1.7976931348623157e+308,1.7976931348623157e+308,98.0,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 01:02,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 01:03,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 01:04,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 01:05,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2026.03.02 01:06,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
