bar,time,open,high,low,close,support_upper,support_lower,resistance_upper,resistance_lower,support_reactions,resistance_reactions,event_mask,bull_rejection,bear_rejection,ATR,zone_count,support_quality,resistance_quality,arrival_mask
24,2026.03.02 00:24,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
25,2026.03.02 00:25,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
26,2026.03.02 00:26,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
27,2026.03.02 00:27,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
28,2026.03.02 00:28,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
29,2026.03.02 00:29,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
30,2026.03.02 00:30,108.0,110.0,100.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.357142857142857,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
31,2026.03.02 00:31,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.331632653061225,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
32,2026.03.02 00:32,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.307944606413995,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
33,2026.03.02 00:33,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.285948563098709,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
34,2026.03.02 00:34,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.2655236657345155,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
35,2026.03.02 00:35,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.246557689610621,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
36,2026.03.02 00:36,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.228946426067005,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
37,2026.03.02 00:37,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.212593109919362,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
38,2026.03.02 00:38,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.197407887782264,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
39,2026.03.02 00:39,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.183307324369245,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
40,2026.03.02 00:40,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.170213944057157,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
41,2026.03.02 00:41,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.158055805195931,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
42,2026.03.02 00:42,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.146766104824793,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
43,2026.03.02 00:43,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.136282811623022,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
44,2026.03.02 00:44,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.126548325078519,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
45,2026.03.02 00:45,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.117509159001481,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
46,2026.03.02 00:46,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.1091156476442325,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
47,2026.03.02 00:47,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.101321672812502,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
48,2026.03.02 00:48,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.094084410468752,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
49,2026.03.02 00:49,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.0873640954352695,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
50,2026.03.02 00:50,108.0,110.0,100.2,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.423980945761322,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
51,2026.03.02 00:51,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.393696592492655,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
52,2026.03.02 00:52,108.0,110.0,105.0,108.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.3655754073146085,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
53,2026.03.02 00:53,108.0,110.0,105.0,108.0,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,2.0,1.7976931348623157e+308,1.0,1.7976931348623157e+308,1.7976931348623157e+308,5.339462878220708,1.0,1.0,1.7976931348623157e+308,0.0
54,2026.03.02 00:54,108.0,110.0,105.0,108.0,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,2.0,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.3152155297763715,1.0,1.0,1.7976931348623157e+308,0.0
55,2026.03.02 00:55,108.0,110.0,105.0,108.0,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,2.0,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.292700134792345,1.0,1.0,1.7976931348623157e+308,0.0
56,2026.03.02 00:56,108.0,110.0,105.0,108.0,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,2.0,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.271792982307177,1.0,1.0,1.7976931348623157e+308,0.0
57,2026.03.02 00:57,108.0,110.0,105.0,108.0,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,2.0,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.252379197856665,1.0,1.0,1.7976931348623157e+308,0.0
58,2026.03.02 00:58,108.0,110.0,105.0,108.0,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,2.0,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.234352112295475,1.0,1.0,1.7976931348623157e+308,0.0
59,2026.03.02 00:59,108.0,110.0,105.0,108.0,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,2.0,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.217612675702941,1.0,1.0,1.7976931348623157e+308,0.0
60,2026.03.02 01:00,108.0,110.0,100.0,100.5,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,2.0,1.7976931348623157e+308,16.0,1.7976931348623157e+308,1.7976931348623157e+308,5.559211770295588,1.0,1.0,1.7976931348623157e+308,1.0
61,2026.03.02 01:01,108.0,110.0,100.1,100.6,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,2.0,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,5.8692680724173325,1.0,1.0,1.7976931348623157e+308,0.0
62,2026.03.02 01:02,108.0,110.0,100.1,101.0,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,2.0,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,6.157177495816095,1.0,1.0,1.7976931348623157e+308,0.0
63,2026.03.02 01:03,108.0,110.0,99.9,104.0,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,3.0,1.7976931348623157e+308,64.0,99.25611923253138,1.7976931348623157e+308,6.438807674686373,1.0,1.0,1.7976931348623157e+308,0.0
64,2026.03.02 01:04,108.0,110.0,100.1,104.0,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,3.0,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,6.686035697923061,1.0,1.0,1.7976931348623157e+308,0.0
65,2026.03.02 01:05,108.0,110.0,100.1,104.0,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,3.0,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,6.915604576642843,1.0,1.0,1.7976931348623157e+308,0.0
66,2026.03.02 01:06,108.0,110.0,105.0,108.0,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,3.0,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,6.850204249739782,1.0,1.0,1.7976931348623157e+308,0.0
67,2026.03.02 01:07,108.0,110.0,98.9,100.3,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,3.0,1.7976931348623157e+308,272.0,98.1846238910956,1.7976931348623157e+308,7.1537610890440835,1.0,1.0,1.7976931348623157e+308,1.0
68,2026.03.02 01:08,108.0,110.0,105.0,108.0,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,4.0,1.7976931348623157e+308,64.0,104.26643647030305,1.7976931348623157e+308,7.335635296969507,1.0,1.0,1.7976931348623157e+308,0.0
69,2026.03.02 01:09,108.0,110.0,105.0,108.0,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,4.0,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,7.168804204328828,1.0,1.0,1.7976931348623157e+308,0.0
70,2026.03.02 01:10,108.0,110.0,97.0,98.0,1.7976931348623157e+308,1.7976931348623157e+308,100.80357142857143,99.19642857142857,1.7976931348623157e+308,4.0,8.0,1.7976931348623157e+308,1.7976931348623157e+308,7.585318189733912,1.0,1.7976931348623157e+308,1.0,0.0
71,2026.03.02 01:11,108.0,110.0,97.0,98.0,1.7976931348623157e+308,1.7976931348623157e+308,100.80357142857143,99.19642857142857,1.7976931348623157e+308,4.0,544.0,1.7976931348623157e+308,110.79720811761815,7.97208117618149,1.0,1.7976931348623157e+308,1.0,2.0
72,2026.03.02 01:12,108.0,110.0,94.8,95.0,1.7976931348623157e+308,1.7976931348623157e+308,100.80357142857143,99.19642857142857,1.7976931348623157e+308,5.0,640.0,1.7976931348623157e+308,110.84883610921685,8.488361092168526,1.0,1.7976931348623157e+308,1.0,0.0
73,2026.03.02 01:13,108.0,110.0,94.0,95.0,1.7976931348623157e+308,1.7976931348623157e+308,100.80357142857143,99.19642857142857,1.7976931348623157e+308,5.0,512.0,1.7976931348623157e+308,110.90249067284422,9.024906728442202,1.0,1.7976931348623157e+308,1.0,0.0
74,2026.03.02 01:14,108.0,110.0,105.0,108.0,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,5.0,1.7976931348623157e+308,4.0,1.7976931348623157e+308,1.7976931348623157e+308,9.451699104982044,1.0,1.0,1.7976931348623157e+308,0.0
75,2026.03.02 01:15,108.0,110.0,105.0,108.0,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,5.0,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,9.133720597483327,1.0,1.0,1.7976931348623157e+308,0.0
76,2026.03.02 01:16,108.0,110.0,105.0,108.0,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,5.0,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,8.838454840520232,1.0,1.0,1.7976931348623157e+308,0.0
77,2026.03.02 01:17,108.0,110.0,105.0,108.0,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,5.0,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,8.564279494768787,1.0,1.0,1.7976931348623157e+308,0.0
78,2026.03.02 01:18,108.0,110.0,105.0,108.0,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,5.0,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,8.309688102285302,1.0,1.0,1.7976931348623157e+308,0.0
79,2026.03.02 01:19,108.0,110.0,100.0,100.4,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,5.0,1.7976931348623157e+308,16.0,1.7976931348623157e+308,1.7976931348623157e+308,8.430424666407779,1.0,1.0,1.7976931348623157e+308,1.0
80,2026.03.02 01:20,108.0,110.0,105.0,108.0,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,6.0,1.7976931348623157e+308,64.0,104.14860342383356,1.7976931348623157e+308,8.513965761664366,1.0,1.0,1.7976931348623157e+308,0.0
81,2026.03.02 01:21,108.0,110.0,105.0,108.0,100.80357142857143,99.19642857142857,1.7976931348623157e+308,1.7976931348623157e+308,6.0,1.7976931348623157e+308,0.0,1.7976931348623157e+308,1.7976931348623157e+308,8.26296820725977,1.0,1.0,1.7976931348623157e+308,0.0
82,2026.03.02 01:22,108.0,110.0,97.0,98.0,1.7976931348623157e+308,1.7976931348623157e+308,100.80357142857143,99.19642857142857,1.7976931348623157e+308,6.0,8.0,1.7976931348623157e+308,1.7976931348623157e+308,8.601327621026929,1.0,1.7976931348623157e+308,0.0,0.0
